#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2ML1	KLK6	9606.ENSP00000299698	9606.ENSP00000366047	0	0	0	0	0	0.134	0	0.730	0.756
AK4	NME1	9606.ENSP00000378743	9606.ENSP00000337060	0	0	0	0	0.090	0	0.650	0.196	0.721
AK4	ENTPD2	9606.ENSP00000378743	9606.ENSP00000347213	0	0	0	0	0	0	0.900	0	0.900
AK4	RRM2	9606.ENSP00000378743	9606.ENSP00000353770	0	0	0	0	0.062	0	0.900	0.042	0.902
AKR1B10	SORD	9606.ENSP00000352584	9606.ENSP00000267814	0.085	0	0	0	0.099	0	0.900	0.524	0.955
AKR1B10	CBR1	9606.ENSP00000352584	9606.ENSP00000290349	0.041	0	0	0	0.064	0.104	0.800	0.530	0.910
AKR1B10	HKDC1	9606.ENSP00000352584	9606.ENSP00000346643	0	0.004	0	0	0.120	0.056	0.800	0.221	0.853
AKR1B10	PAH	9606.ENSP00000352584	9606.ENSP00000448059	0	0	0	0	0.064	0	0.900	0.043	0.902
AKR1B10	AKR1C3	9606.ENSP00000352584	9606.ENSP00000369927	0	0	0.449	0.933	0.102	0	0.900	0.683	0.913
AKR1B10	CYP2E1	9606.ENSP00000352584	9606.ENSP00000440689	0	0	0	0	0.062	0	0.900	0.243	0.922
AKR1C1	SRD5A3	9606.ENSP00000370254	9606.ENSP00000264228	0	0	0	0	0	0	0.900	0.376	0.934
AKR1C1	SRD5A1	9606.ENSP00000370254	9606.ENSP00000274192	0	0	0	0	0	0	0.900	0.722	0.971
AKR1C1	UGT1A6	9606.ENSP00000370254	9606.ENSP00000303174	0	0	0	0	0.090	0	0.650	0.204	0.724
AKR1C1	UGT1A8	9606.ENSP00000370254	9606.ENSP00000304845	0	0	0	0	0.056	0	0.650	0.211	0.716
AKR1C1	UGT2B4	9606.ENSP00000370254	9606.ENSP00000305221	0	0	0	0	0.083	0	0.650	0.280	0.748
AKR1C1	CYP2D6	9606.ENSP00000370254	9606.ENSP00000353820	0	0	0	0	0.062	0	0.900	0.102	0.908
AKR1C1	UGT1A7	9606.ENSP00000370254	9606.ENSP00000362525	0	0	0	0	0	0	0.650	0.208	0.710
AKR1C1	AKR1C3	9606.ENSP00000370254	9606.ENSP00000369927	0	0	0.449	0.983	0.214	0.872	0.900	0.934	0.989
AKR1C1	AKR1C2	9606.ENSP00000370254	9606.ENSP00000370129	0	0	0.449	0.986	0.405	0.877	0.900	0.877	0.992
AKR1C1	CYP2E1	9606.ENSP00000370254	9606.ENSP00000440689	0	0	0	0	0.062	0	0.900	0.344	0.933
AKR1C2	SRD5A3	9606.ENSP00000370129	9606.ENSP00000264228	0	0	0	0	0	0	0.900	0.451	0.942
AKR1C2	SRD5A1	9606.ENSP00000370129	9606.ENSP00000274192	0	0	0	0	0	0	0.900	0.687	0.967
AKR1C2	UGT1A6	9606.ENSP00000370129	9606.ENSP00000303174	0	0	0	0	0.110	0	0.650	0.167	0.717
AKR1C2	UGT2B4	9606.ENSP00000370129	9606.ENSP00000305221	0	0	0	0	0.083	0	0.650	0.200	0.721
AKR1C2	AKR1C3	9606.ENSP00000370129	9606.ENSP00000369927	0	0	0.449	0.983	0.214	0.873	0.800	0.906	0.978
AKR1C3	SRD5A3	9606.ENSP00000369927	9606.ENSP00000264228	0	0	0	0	0	0	0.900	0.522	0.950
AKR1C3	SRD5A1	9606.ENSP00000369927	9606.ENSP00000274192	0	0	0	0	0	0	0.900	0.760	0.975
AKR1C3	CBR1	9606.ENSP00000369927	9606.ENSP00000290349	0.041	0	0	0	0.064	0.104	0.900	0.688	0.970
AKR1C3	UGT1A6	9606.ENSP00000369927	9606.ENSP00000303174	0	0	0	0	0.102	0	0.650	0.167	0.715
AKR1C3	UGT1A8	9606.ENSP00000369927	9606.ENSP00000304845	0	0	0	0	0.080	0	0.650	0.149	0.702
AKR1C3	UGT2B4	9606.ENSP00000369927	9606.ENSP00000305221	0	0	0	0	0.083	0	0.650	0.199	0.720
AKR1C3	PTGES	9606.ENSP00000369927	9606.ENSP00000342385	0	0	0	0	0	0	0	0.707	0.707
AKR1C3	CYP2E1	9606.ENSP00000369927	9606.ENSP00000440689	0	0	0	0	0.062	0	0.900	0.203	0.918
ALDH18A1	ALDH3B2	9606.ENSP00000360268	9606.ENSP00000255084	0.072	0	0	0	0.060	0	0	0.772	0.784
ALDH18A1	SHMT2	9606.ENSP00000360268	9606.ENSP00000333667	0.205	0	0	0	0.229	0	0	0.664	0.776
ALDH18A1	GAD1	9606.ENSP00000360268	9606.ENSP00000350928	0.284	0	0	0	0.061	0	0.800	0.309	0.894
ALDH18A1	CPS1	9606.ENSP00000360268	9606.ENSP00000402608	0.266	0	0	0	0.088	0.143	0	0.564	0.716
ALDH18A1	PC	9606.ENSP00000360268	9606.ENSP00000377532	0.220	0	0	0	0.131	0	0	0.635	0.731
ALDH18A1	TXNRD1	9606.ENSP00000360268	9606.ENSP00000434516	0.303	0	0	0	0.078	0	0	0.643	0.751
ALDH18A1	MTHFD2	9606.ENSP00000360268	9606.ENSP00000377617	0.370	0	0	0	0.142	0.060	0	0.652	0.799
ALDH18A1	PSAT1	9606.ENSP00000360268	9606.ENSP00000365773	0.346	0	0	0	0.261	0	0	0.736	0.861
ALDH18A1	PYCR1	9606.ENSP00000360268	9606.ENSP00000384949	0.347	0	0.297	0	0.351	0.368	0	0.941	0.987
ALDH3A1	ALDH3B2	9606.ENSP00000411821	9606.ENSP00000255084	0	0	0.449	0.948	0.059	0	0.800	0.876	0.816
ALDH3A1	GAD1	9606.ENSP00000411821	9606.ENSP00000350928	0	0	0	0	0.066	0.057	0.900	0.084	0.908
ALDH3A1	CYP2E1	9606.ENSP00000411821	9606.ENSP00000440689	0	0	0	0	0	0.061	0.900	0.540	0.953
ALDH3B2	GAD1	9606.ENSP00000255084	9606.ENSP00000350928	0	0	0	0	0.066	0.057	0.900	0.084	0.908
ALDH3B2	CYP2E1	9606.ENSP00000255084	9606.ENSP00000440689	0	0	0	0	0	0.061	0.900	0.577	0.956
AMACR	BAAT	9606.ENSP00000371517	9606.ENSP00000259407	0	0	0	0	0.049	0	0.900	0.454	0.943
AMBP	CD79A	9606.ENSP00000265132	9606.ENSP00000221972	0	0	0	0	0	0.487	0	0.456	0.709
AMBP	ORM1	9606.ENSP00000265132	9606.ENSP00000259396	0	0	0	0	0.622	0	0	0.623	0.851
AMBP	FGL1	9606.ENSP00000265132	9606.ENSP00000381133	0	0	0	0	0.684	0	0	0.152	0.721
AMBP	SERPINA5	9606.ENSP00000265132	9606.ENSP00000333203	0	0	0	0	0.555	0.179	0	0.328	0.733
AMBP	TF	9606.ENSP00000265132	9606.ENSP00000385834	0	0	0	0	0.759	0	0	0.386	0.846
AMBP	ORM2	9606.ENSP00000265132	9606.ENSP00000394936	0	0	0	0	0.737	0	0	0.440	0.846
AMBP	FGB	9606.ENSP00000265132	9606.ENSP00000306099	0	0	0	0	0.917	0	0	0.268	0.937
AMBP	FGA	9606.ENSP00000265132	9606.ENSP00000306361	0	0	0	0	0.940	0	0	0.315	0.957
AMBP	FGG	9606.ENSP00000265132	9606.ENSP00000336829	0	0	0	0	0.963	0	0	0.356	0.975
ANKRD32	POLE2	9606.ENSP00000265140	9606.ENSP00000216367	0	0	0	0	0.262	0.616	0	0.539	0.858
ANKRD32	MCM4	9606.ENSP00000265140	9606.ENSP00000262105	0	0	0	0	0.369	0.158	0	0.506	0.714
ANKRD32	GINS1	9606.ENSP00000265140	9606.ENSP00000262460	0	0	0	0	0.127	0.367	0	0.504	0.702
ANKRD32	DBF4B	9606.ENSP00000265140	9606.ENSP00000323663	0	0	0	0	0.145	0.243	0	0.611	0.726
ANKRD32	MCM10	9606.ENSP00000265140	9606.ENSP00000418268	0	0	0	0	0.182	0.394	0	0.574	0.770
ANKRD32	CDC45	9606.ENSP00000265140	9606.ENSP00000405726	0	0	0	0	0.297	0.664	0	0.536	0.880
ANLN	TRIP13	9606.ENSP00000265748	9606.ENSP00000166345	0	0	0	0	0.789	0.270	0	0.168	0.861
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.801	0	0	0.429	0.881
ANLN	OIP5	9606.ENSP00000265748	9606.ENSP00000220514	0	0	0	0	0.735	0	0	0.155	0.767
ANLN	RAD51AP1	9606.ENSP00000265748	9606.ENSP00000228843	0	0	0	0	0.778	0	0	0.134	0.799
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.908	0	0	0.446	0.947
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.820	0	0	0.266	0.862
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.821	0	0	0.423	0.892
ANLN	KIF23	9606.ENSP00000265748	9606.ENSP00000260363	0	0	0	0	0.911	0.378	0	0.874	0.992
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.943	0.070	0	0.493	0.970
ANLN	NDC80	9606.ENSP00000265748	9606.ENSP00000261597	0	0	0	0	0.811	0	0	0.193	0.841
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.608	0.270	0	0.095	0.718
ANLN	KIF18A	9606.ENSP00000265748	9606.ENSP00000263181	0	0	0	0	0.626	0.070	0	0.300	0.735
ANLN	CENPE	9606.ENSP00000265748	9606.ENSP00000265148	0	0	0	0	0.800	0.070	0	0.402	0.879
ANLN	ARHGAP11A	9606.ENSP00000265748	9606.ENSP00000355090	0	0	0	0	0.488	0.213	0	0.322	0.703
ANLN	CDCA5	9606.ENSP00000265748	9606.ENSP00000275517	0	0	0	0	0.574	0	0	0.333	0.704
ANLN	CDCA2	9606.ENSP00000265748	9606.ENSP00000328228	0	0	0	0	0.568	0	0	0.345	0.705
ANLN	TYMS	9606.ENSP00000265748	9606.ENSP00000315644	0	0	0	0	0.695	0	0	0.075	0.706
ANLN	KPNA2	9606.ENSP00000265748	9606.ENSP00000438483	0	0	0	0	0.435	0.371	0	0.261	0.714
ANLN	CDC45	9606.ENSP00000265748	9606.ENSP00000405726	0	0	0	0	0.695	0	0	0.108	0.716
ANLN	ZWINT	9606.ENSP00000265748	9606.ENSP00000363055	0	0	0	0	0.658	0	0	0.204	0.716
ANLN	CKAP2L	9606.ENSP00000265748	9606.ENSP00000305204	0	0	0	0	0.400	0	0	0.568	0.730
ANLN	CDC25C	9606.ENSP00000265748	9606.ENSP00000321656	0	0	0	0	0.704	0	0	0.150	0.737
ANLN	CENPK	9606.ENSP00000265748	9606.ENSP00000379911	0	0	0	0	0.333	0	0	0.625	0.740
ANLN	DTL	9606.ENSP00000265748	9606.ENSP00000355958	0	0	0	0	0.719	0	0	0.117	0.742
ANLN	FAM83D	9606.ENSP00000265748	9606.ENSP00000481110	0	0	0	0	0.569	0	0	0.456	0.756
ANLN	CENPU	9606.ENSP00000265748	9606.ENSP00000281453	0	0	0	0	0.553	0	0	0.489	0.762
ANLN	PTTG1	9606.ENSP00000265748	9606.ENSP00000377536	0	0	0	0	0.680	0	0	0.294	0.764
ANLN	MKI67	9606.ENSP00000265748	9606.ENSP00000357643	0	0	0	0	0.590	0.270	0	0.287	0.768
ANLN	FOXM1	9606.ENSP00000265748	9606.ENSP00000342307	0	0	0	0	0.729	0	0	0.207	0.776
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.790	0	0	0.149	0.814
ANLN	CDKN3	9606.ENSP00000265748	9606.ENSP00000335357	0	0	0	0	0.810	0	0	0.074	0.816
ANLN	SPAG5	9606.ENSP00000265748	9606.ENSP00000323300	0	0	0	0	0.714	0.270	0	0.193	0.817
ANLN	HJURP	9606.ENSP00000265748	9606.ENSP00000414109	0	0	0	0	0.777	0	0	0.222	0.819
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.791	0	0	0.180	0.821
ANLN	CENPA	9606.ENSP00000265748	9606.ENSP00000336868	0	0	0	0	0.779	0	0	0.258	0.829
ANLN	PLK4	9606.ENSP00000265748	9606.ENSP00000270861	0	0	0	0	0.795	0	0	0.228	0.835
ANLN	SHCBP1	9606.ENSP00000265748	9606.ENSP00000306473	0	0	0	0	0.608	0.270	0	0.473	0.836
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.692	0.270	0	0.370	0.846
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.749	0	0	0.429	0.850
ANLN	KIF15	9606.ENSP00000265748	9606.ENSP00000324020	0	0	0	0	0.747	0.070	0	0.423	0.852
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.813	0	0	0.284	0.860
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.794	0	0	0.369	0.865
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.739	0.270	0	0.359	0.867
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.833	0	0	0.245	0.868
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.793	0	0	0.390	0.868
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.789	0	0	0.405	0.869
ANLN	PLK1	9606.ENSP00000265748	9606.ENSP00000300093	0	0	0	0	0.660	0	0	0.636	0.871
ANLN	NUSAP1	9606.ENSP00000265748	9606.ENSP00000453403	0	0	0	0	0.811	0	0	0.363	0.874
ANLN	MAD2L1	9606.ENSP00000265748	9606.ENSP00000296509	0	0	0	0	0.824	0	0	0.332	0.878
ANLN	CCNB2	9606.ENSP00000265748	9606.ENSP00000288207	0	0	0	0	0.819	0	0	0.366	0.881
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.778	0.270	0	0.337	0.883
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000274026	0	0	0	0	0.833	0	0	0.345	0.886
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.829	0	0	0.379	0.890
ANLN	KIF2C	9606.ENSP00000265748	9606.ENSP00000361298	0	0	0	0	0.786	0.070	0	0.512	0.894
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.843	0	0	0.408	0.903
ANLN	AURKB	9606.ENSP00000265748	9606.ENSP00000313950	0	0	0	0	0.614	0.270	0	0.686	0.904
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.865	0.062	0	0.345	0.910
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.839	0	0	0.482	0.913
ANLN	PRC1	9606.ENSP00000265748	9606.ENSP00000377793	0	0	0	0	0.855	0	0	0.445	0.916
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.796	0.070	0	0.614	0.920
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.760	0.292	0	0.581	0.922
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.805	0.270	0	0.512	0.924
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.834	0.270	0	0.469	0.930
ANLN	CIT	9606.ENSP00000265748	9606.ENSP00000376306	0	0	0	0	0.477	0.557	0	0.731	0.932
ANLN	CDK1	9606.ENSP00000265748	9606.ENSP00000378699	0	0	0	0	0.869	0	0	0.547	0.938
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.866	0.296	0	0.428	0.941
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.832	0.270	0	0.566	0.942
ANLN	BUB1	9606.ENSP00000265748	9606.ENSP00000302530	0	0	0	0	0.913	0	0	0.376	0.943
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.855	0.351	0	0.647	0.964
ANLN	ECT2	9606.ENSP00000265748	9606.ENSP00000376457	0	0	0	0	0.645	0.270	0	0.921	0.977
ANLN	RACGAP1	9606.ENSP00000265748	9606.ENSP00000404190	0	0	0	0	0.850	0.716	0	0.965	0.998
AOC1	ODC1	9606.ENSP00000411613	9606.ENSP00000234111	0	0	0	0	0.062	0	0.900	0.687	0.968
AOC1	DDC	9606.ENSP00000411613	9606.ENSP00000403644	0	0	0	0	0.088	0	0.900	0.646	0.964
AOC1	IL4I1	9606.ENSP00000411613	9606.ENSP00000472474	0	0	0	0	0.055	0	0.900	0.063	0.903
APBA2	STX1A	9606.ENSP00000453293	9606.ENSP00000222812	0	0	0	0	0.087	0.205	0.600	0.486	0.831
APOBEC3B	KPNA2	9606.ENSP00000327459	9606.ENSP00000438483	0	0	0	0	0.083	0	0	0.699	0.712
APOBEC3B	CDA	9606.ENSP00000327459	9606.ENSP00000364212	0	0	0	0	0.089	0	0	0.743	0.756
ARHGAP11A	TRIP13	9606.ENSP00000355090	9606.ENSP00000166345	0	0	0	0	0.773	0	0	0	0.773
ARHGAP11A	AURKA	9606.ENSP00000355090	9606.ENSP00000216911	0	0	0	0	0.750	0	0	0	0.750
ARHGAP11A	DLGAP5	9606.ENSP00000355090	9606.ENSP00000247191	0	0	0	0	0.912	0	0	0.144	0.922
ARHGAP11A	NCAPG	9606.ENSP00000355090	9606.ENSP00000251496	0	0	0	0	0.855	0	0	0.067	0.859
ARHGAP11A	CCNB1	9606.ENSP00000355090	9606.ENSP00000256442	0	0	0	0	0.835	0	0	0.094	0.844
ARHGAP11A	ESPL1	9606.ENSP00000355090	9606.ENSP00000257934	0	0	0	0	0.826	0	0	0.185	0.852
ARHGAP11A	KIF23	9606.ENSP00000355090	9606.ENSP00000260363	0	0	0	0	0.723	0.078	0	0.193	0.776
ARHGAP11A	KIF11	9606.ENSP00000355090	9606.ENSP00000260731	0	0	0	0	0.931	0.078	0	0.251	0.948
ARHGAP11A	NDC80	9606.ENSP00000355090	9606.ENSP00000261597	0	0	0	0	0.877	0	0	0	0.877
ARHGAP11A	KIF18A	9606.ENSP00000355090	9606.ENSP00000263181	0	0	0	0	0.723	0.167	0	0.241	0.810
ARHGAP11A	DEPDC1B	9606.ENSP00000355090	9606.ENSP00000265036	0	0	0	0	0.635	0	0	0.337	0.748
ARHGAP11A	CENPE	9606.ENSP00000355090	9606.ENSP00000265148	0	0	0	0	0.884	0.344	0	0	0.921
ARHGAP11A	PLK4	9606.ENSP00000355090	9606.ENSP00000270861	0	0	0	0	0.701	0.254	0	0.047	0.769
ARHGAP11A	CCNA2	9606.ENSP00000355090	9606.ENSP00000274026	0	0	0	0	0.929	0	0	0.093	0.933
ARHGAP11A	BUB1B	9606.ENSP00000355090	9606.ENSP00000287598	0	0	0	0	0.921	0	0	0	0.921
ARHGAP11A	CCNB2	9606.ENSP00000355090	9606.ENSP00000288207	0	0	0	0	0.836	0	0	0	0.836
